trial,item_no,item_id,type,expset,condition_no,social_context,target_context,register_match,grammatical,context,critical,condition,picture1,picture2,picture3,picture4,sentence,context_norm
91,54,14,filler,SocStat,1,high,high,match,yes,Herr*Meyers*T&auml;tigkeit*als*Disponent*verlangt*analytische*F&auml;higkeiten.,"Ich*vermute*dass,*die*Bahn*wegen*des*heiklen*Spiels*&uuml;berf&uuml;llt*ist.",a,Filler14_socstat_related_1.jpg,Filler14_socstat_unrelated_1.jpg,Filler14_socstat_unrelated_2.jpg,Filler14_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Herr Meyers T&auml;tigkeit als Disponent verlangt analytische F&auml;higkeiten.
92,53,13,filler,SocStat,1,high,high,match,yes,Trotz*Technologiesierung*arbeiten*viele*aus*meiner*Familie*in*Fabriken.,"Ich*sch&auml;tze*dass,*die*Lieferung*wegen*der*heftigen*St&uuml;rme*versp&auml;tet*ist.",a,Filler13_socstat_related_2.jpg,Filler13_socstat_unrelated_2.jpg,Filler13_socstat_related_1.jpg,Filler13_socstat_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Trotz Technologiesierung arbeiten viele aus meiner Familie in Fabriken.
93,108,28,filler,WP2,8,high,high,match,no,Die*Alten*verklickerten*dem*Knirps:,Der*Bruder*beschwindelte*den*Vetter.,h,Filler28_WP2_related_2.jpg,Filler28_WP2_unrelated_1.jpg,Filler28_WP2_unrelated_2.jpg,Filler28_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Alten verklickerten dem Knirps:
94,30,30,critical,WP1,4,high,low,mismatch,yes,Exzessiv*arrogant*intoniert*Annika:,Ich*streiche*bald*meine*Kneipe*auf*der*Fassade.,d,Zigarre-1.jpg,Schaenke-1.jpg,Kippe-1.jpg,Kneipe-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Exzessiv arrogant intoniert Annika:
95,101,21,filler,WP2,7,high,high,match,yes,Der*Gaffer*stresste*das*Gesocks:,Der*Marktschreier*reizte*den*Obsth&auml;ndler.,g,Filler21_WP2_related_1.jpg,Filler21_WP2_related_2.jpg,Filler21_WP2_unrelated_1.jpg,Filler21_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Gaffer stresste das Gesocks:
96,51,11,filler,SocStat,1,high,high,match,yes,Elsa*verdient*als*Pilotin*sehr*viel*Geld.,"Ich*bin*&uuml;berzeugt*dass,*die*Freundschaft*wegen*der*gro&szlig;en*Entfernung*leiden*muss.",a,Filler11_socstat_unrelated_2.jpg,Filler11_socstat_related_2.jpg,Filler11_socstat_unrelated_1.jpg,Filler11_socstat_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Elsa verdient als Pilotin sehr viel Geld.
97,67,34,filler,SocStat,2,high,high,match,no,Wir*sind*wegen*der*guten*M&ouml;glichkeiten*nach*Leipzig*gezogen.,"Ich*behaupte*dass,*der*Reifen*trotz*die*kurze*Reparatur*gerettet*ist.",b,Filler34_socstat_unrelated_2.jpg,Filler34_socstat_related_1.jpg,Filler34_socstat_unrelated_1.jpg,Filler34_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Wir sind wegen der guten M&ouml;glichkeiten nach Leipzig gezogen.
98,39,39,critical,WP1,6,high,low,mismatch,no,Leger*verweilend*ersinnt*Sabine:,Ich*betreibe*jetzt*meine*Schlappen*in*der*Provinz.,f,Absteige-1.jpg,Hausschuhe-1.jpg,Pension-1.jpg,Schlappen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Leger verweilend ersinnt Sabine:
99,59,19,filler,SocStat,1,high,high,match,yes,In*einer*R&ouml;sterei*arbeiten*macht*gro&szlig;e*Freude.,"Ich*finde*dass,*der*Kaffee*wegen*der*alten*Milch*merkw&uuml;rdig*schmeckt.",a,Filler19_socstat_unrelated_1.jpg,Filler19_socstat_related_1.jpg,Filler19_socstat_related_2.jpg,Filler19_socstat_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,In einer R&ouml;sterei arbeiten macht gro&szlig;e Freude.
100,60,21,filler,SocStat,1,high,high,match,yes,Als*Lektor*steht*Hans*stets*vor*neuen*Herausforderungen.,"Ich*hoffe*dass,*die*Reaktion*wegen*der*falschen*Nachricht*angemessen*ist.",a,Filler21_socstat_related_1.jpg,Filler21_socstat_related_2.jpg,Filler21_socstat_unrelated_1.jpg,Filler21_socstat_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Als Lektor steht Hans stets vor neuen Herausforderungen.
101,31,31,critical,WP1,5,high,high,match,no,Grandios*geschult*prophezeit*Klaus:,Ich*feuer(e)*bald*meine*Arznei*auf*der*Allee.,e,Pillen-1.jpg,Arznei-1.jpg,Pistole-1.jpg,Knarre-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Grandios geschult prophezeit Klaus:
102,114,34,filler,WP2,9,high,low,mismatch,yes,Der*Bevollm&auml;chtigte*dokumentierte*die*Furore:,Der*Raufbold*pr&uuml;geln*den*H&auml;ftling.,i,Filler34_WP2_unrelated_2.jpg,Filler34_WP2_related_2.jpg,Filler34_WP2_related_1.jpg,Filler34_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Bevollm&auml;chtigte dokumentierte die Furore:
103,56,16,filler,SocStat,1,high,high,match,yes,Ricardo*wird*Regelm&auml;&szlig;ig*als*DJ*angeheuert.,"Ich*merke*dass,*die*&uuml;berraschung*wegen*der*tiefen*Freude*gelungen*ist.",a,Filler16_socstat_related_2.jpg,Filler16_socstat_related_1.jpg,Filler16_socstat_unrelated_2.jpg,Filler16_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Ricardo wird Regelm&auml;&szlig;ig als DJ angeheuert.
104,35,35,critical,WP1,5,high,high,match,no,Effizient*autonom*deklariert*Vera:,Ich*schminke*sp&auml;ter*meine*Lampe*vor*dem*Schminktisch.,e,Glubscher-1.jpg,Funzel-1.jpg,Augen-1.jpg,Lampe-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Effizient autonom deklariert Vera:
105,1,1,critical,WP1,4,low,high,mismatch,yes,Sauber*zurechtgemacht*labert*Peter:,Ich*binde*gleich*meine*Schuhe*vor*dem*Zimmer.,d,Schuhe-1.jpg,Klamotten-1.jpg,Latschen-1.jpg,Kleidung-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Sauber zurechtgemacht labert Peter:
106,111,31,filler,WP2,9,high,low,mismatch,yes,Die*Zuschauer*schnackten*in*der*Pause:,Der*Bengel*karikierte*den*Flegel.,i,Filler31_WP2_unrelated_1.jpg,Filler31_WP2_related_1.jpg,Filler31_WP2_related_2.jpg,Filler31_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Zuschauer schnackten in der Pause:
107,58,18,filler,SocStat,1,high,high,match,yes,Helga*arbeitet*seit*vielen*Jahren*als*Chefredakteurin.,"Ich*finde*dass,*der*Artikel*wegen*der*kleinen*Vorf&auml;lle*deutlich*&uuml;bertreibt.",a,Filler18_socstat_related_2.jpg,Filler18_socstat_unrelated_2.jpg,Filler18_socstat_unrelated_1.jpg,Filler18_socstat_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Helga arbeitet seit vielen Jahren als Chefredakteurin.
108,65,32,filler,SocStat,2,high,high,match,no,F&uuml;r*die*Menschen*in*Schwahlheim*sind*die*abendlichen*Spazierg&auml;nge*am*See*ein*Genuss.,"Ich*wei&szlig;*dass,*das*Ufer*wegen*die*gr&uuml;ne*Aussicht*idyllisch*wirkt.",b,Filler32_socstat_related_1.jpg,Filler32_socstat_unrelated_2.jpg,Filler32_socstat_related_2.jpg,Filler32_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,F&uuml;r die Menschen in Schwahlheim sind die abendlichen Spazierg&auml;nge am See ein Genuss.
