trial,item_no,item_id,type,expset,condition_no,social_context,target_context,register_match,grammatical,context,critical,condition,picture1,picture2,picture3,picture4,sentence,context_norm
31,89,9,filler,WP2,8,low,high,mismatch,no,Der*Lausbub*patzte*ins*Tagebuch:,Der*Reiseleiter*ersp&auml;hen*den*Abenteurer.,h,Filler9_WP2_related_2.jpg,Filler9_WP2_unrelated_2.jpg,Filler9_WP2_unrelated_1.jpg,Filler9_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Lausbub patzte ins Tagebuch:
32,42,2,filler,SocStat,1,high,high,match,yes,J&&Uuml;uml;rgen*spricht*gerne*&&Uuml;uml;ber*seine*T&auml;tigkeit*auf*dem*Bau.,"Ich*wei&szlig;*dass,*der*Aufenthalt*wegen*der*schlechten*Lage*preiswert*ist.",a,Filler2_socstat_related_1.jpg,Filler2_socstat_related_2.jpg,Filler2_socstat_unrelated_2.jpg,Filler2_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,J&&Uuml;uml;rgen spricht gerne &&Uuml;uml;ber seine T&auml;tigkeit auf dem Bau.
33,9,9,critical,WP1,3,low,low,match,yes,Massig*betucht*schwafelt*Paula:,Ich*verschrotte*bald*meine*Karren*neben*der*M&&Uuml;uml;llkippe.,c,Autos-1.jpg,Stelzen-1.jpg,Karren-1.jpg,Beine-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Massig betucht schwafelt Paula:
34,22,22,critical,WP1,3,high,high,match,yes,Fachkundig*instruiert*signalisiert*Florian:,Ich*entwurme*jetzt*meinen*Hund*bei*dem*Veterin&auml;r.,c,Bauch-1.jpg,Koeter-1.jpg,Wanst-1.jpg,Hund-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Fachkundig instruiert signalisiert Florian:
35,78,50,filler,SocStat,2,high,high,match,no,Die*Kritiker*beratschlagten*sich*.,"Ich*nehme*an*dass,*der*Film*trotz*die*schwache*Bewertung*interessant*ist.",b,Filler50_socstat_related_1.jpg,Filler50_socstat_related_2.jpg,Filler50_socstat_unrelated_1.jpg,Filler50_socstat_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Kritiker beratschlagten sich .
36,99,19,filler,WP2,10,low,low,match,no,Der*Schw&auml;tzer*palaverte*ohne*Ende:,Der*Priester*indoktrinieren*den*Hausarzt.,j,Filler19_WP2_unrelated_1.jpg,Filler19_WP2_unrelated_2.jpg,Filler19_WP2_related_1.jpg,Filler19_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Schw&auml;tzer palaverte ohne Ende:
37,8,8,critical,WP1,3,low,low,match,yes,Quietschfidel*gelaunt*twittert*Dennis:,Ich*esse*jetzt*mein*Gr&&Uuml;uml;nzeug*von*dem*Sp&auml;ti.,c,Gruenzeug-1.jpg,Gemuese-1.jpg,Fahrrad-1.jpg,Stahlross-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Quietschfidel gelaunt twittert Dennis:
38,2,2,critical,WP1,4,low,high,mismatch,yes,Sauber*zurechtgemacht*labert*Peter:,Ich*falte*gleich*meine*Kleidung*auf*der*Couch.,d,Kleidung-1.jpg,Schuhe-1.jpg,Latschen-1.jpg,Klamotten-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Sauber zurechtgemacht labert Peter:
39,96,16,filler,WP2,10,low,low,match,no,Der*Vorstand*bem&auml;ngelte*im*Protokoll:,Der*Techniker*behelligte*den*Handwerker.,j,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_1.jpg,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Vorstand bem&auml;ngelte im Protokoll:
40,79,51,filler,SocStat,2,high,high,match,no,Der*Chef*lehnte*sich*mit*der*Vermutung*aus*dem*Fenster.,"Ich*nehme*an*dass,*der*Umsatz*trotz*die*miese*Wirtschaftslage*schnell*steigt.",b,Filler50_socstat_related_2.jpg,Filler50_socstat_unrelated_2.jpg,Filler50_socstat_related_1.jpg,Filler50_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Chef lehnte sich mit der Vermutung aus dem Fenster.
41,44,4,filler,SocStat,1,high,high,match,yes,Als*Justiziar*ben&ouml;tigt*man*eine*breite*Expertise.,"Ich*nehme*an*dass,*das*Verfahren*wegen*der*harten*Anklage*aufgenommen*wurde.",a,Filler4_socstat_unrelated_2.jpg,Filler4_socstat_unrelated_1.jpg,Filler4_socstat_related_2.jpg,Filler4_socstat_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Als Justiziar ben&ouml;tigt man eine breite Expertise.
42,11,11,critical,WP1,6,low,high,mismatch,no,Patent*trainiert*verklickert*Daniel:,Ich*b&&Uuml;uml;gel*gleich*meine*Pferde*auf*dem*B&&Uuml;uml;gelbrett.,f,Gaule-1.jpg,Pferde-1.jpg,Hosen-1.jpg,Buxen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Patent trainiert verklickert Daniel:
