trial,item_no,item_id,type,expset,condition_no,social_context,target_context,register_match,grammatical,context,critical,condition,picture1,picture2,picture3,picture4,sentence,context_norm
practice,practice,2,practice,practice,practice,practice,practice,practice,practice,Hochtrabend*daherkommend*erw&auml;hnte*der*Profi:,Ich*mutma&szlig;e*dass*die*Reparatur*trotz*der*fairen*Versicherung*teuer*ist. ,practice,practice1rel1.jpg,practice1rel2.jpg,practice1unrel1.jpg,practice1unrel2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Hochtrabend daherkommend erw&auml;hnte der Profi:
practice,practice,2,practice,practice,practice,practice,practice,practice,practice,Gut*gelaunt*sagte*die*Studentin:,Ich*schreibe*sp&auml;ter*meine*Hausaufgaben*in*der*Bibliothek.,practice,practice2rel1.jpg,practice2rel2.jpg,practice2unrel1.jpg,practice2unrel2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Gut gelaunt sagte die Studentin:
practice,practice,2,practice,practice,practice,practice,practice,practice,practice,Minimal*verunsichert*benannte*Anne:,Ich*ahne*dass*der*Fleck*trotz*der*starken*Reinigung*bleibt.,practice,practice2rel1.jpg,practice3rel2.jpg,practice3unrel1.jpg,practice3unrel2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Minimal verunsichert benannte Anne:
1,45,5,filler,SocStat,1,high,high,match,yes,Jans*Eltern*verlangen*als*Professoren*viel*von*ihrem*Sohn*ab.,"Ich*denke*dass,*die*Studie*wegen*des*groben*Versehens*abgesagt*ist.",a,Filler5_socstat_related_1.jpg,Filler5_socstat_unrelated_1.jpg,Filler5_socstat_unrelated_2.jpg,Filler5_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Jans Eltern verlangen als Professoren viel von ihrem Sohn ab.
2,50,10,filler,SocStat,1,high,high,match,yes,Mein*Papa*ist*Schreiner.,"Ich*bef&uuml;rchte*dass,*die*Sanierung*wegen*der*sch&ouml;nen*Umgebung*chancenlos*ist.",a,Filler10_socstat_related_2.jpg,Filler10_socstat_unrelated_2.jpg,Filler10_socstat_related_1.jpg,Filler10_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Mein Papa ist Schreiner.
3,18,18,critical,WP1,5,low,low,match,no,Pingelig*getrimmt*schwafelt*Tobias:,Ich*f&uuml;ttere*gleich*mein*Klo*vor*dem*Speicher.,e,Vieh-1.jpg,Klo-1.jpg,WC-1.jpg,Tier-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Pingelig getrimmt schwafelt Tobias:
4,86,6,filler,WP2,8,low,high,mismatch,no,Der*B&uuml;rgermeister*proklamierte*im*Amtsblatt:,Der*Sheriff*&uuml;berlistete*den*Gauner.,h,Filler6_WP2_unrelated_1.jpg,Filler6_WP2_related_2.jpg,Filler6_WP2_related_1.jpg,Filler6_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der B&uuml;rgermeister proklamierte im Amtsblatt:
5,10,10,critical,WP1,3,low,low,match,yes,Massig*betucht*schwafelt*Paula:,Ich*rasiere*bald*meine*Stelzen*in*der*Dusche.,c,Autos-1.jpg,Beine-1.jpg,Karren-1.jpg,Stelzen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Massig betucht schwafelt Paula:
6,97,17,filler,WP2,10,low,low,match,no,Die*G&ouml;re*beleierte*den*Schiri:,Der*Fechter*fighten*den*Gegner.,j,Filler17_WP2_related_1.jpg,Filler17_WP2_related_2.jpg,Filler17_WP2_unrelated_1.jpg,Filler17_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die G&ouml;re beleierte den Schiri:
7,47,7,filler,SocStat,1,high,high,match,yes,Die*Feuerwehrfrau*l&ouml;scht*die*Br&auml;nde.,"Ich*meine*dass,*die*Unruhe*wegen*der*w&uuml;sten*Proteste*nachvollziehbar*ist.",a,Filler7_WP2_unrelated_2.jpg,Filler7_WP2_related_2.jpg,Filler7_WP2_unrelated_1.jpg,Filler7_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Feuerwehrfrau l&ouml;scht die Br&auml;nde.
8,24,24,critical,WP1,3,high,high,match,yes,Beflissen*arbeitend*k&uuml;ndet*Lars:,Ich*bef&uuml;lle*gleich*meine*Flasche*aus*dem*Krug.,c,Flasche-1.jpg,Haare-1.jpg,Pulle-1.jpg,Maehne-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Beflissen arbeitend k&uuml;ndet Lars:
